"column_name","null_frac","estimated_null_rows"
"pool_qc","0.99556315","2917"
"misc_feature","0.96382254","2824"
"alley","0.93242323","2732"
"fence","0.80477816","2358"
"mas_vnr_type","0.60580206","1775"
"fireplace_qu","0.48532423","1422"
"lot_frontage","0.1672355","490"
"garage_qual","0.05426621","159"
"garage_cond","0.05426621","159"
"garage_yr_blt","0.05426621","159"
"garage_finish","0.05426621","159"
"garage_type","0.05358362","157"
"bsmt_exposure","0.028327646","83"
"bsmtfin_type_2","0.027645051","81"
"bsmt_qual","0.027303753","80"
"bsmt_cond","0.027303753","80"
"bsmtfin_type_1","0.027303753","80"
"mas_vnr_area","0.007849829","23"
"bsmt_full_bath","0.00068259385","2"
"bsmt_half_bath","0.00068259385","2"
"bsmt_unf_sf","0.00034129692","1"
"garage_cars","0.00034129692","1"
"garage_area","0.00034129692","1"
"electrical","0.00034129692","1"
"bsmtfin_sf_1","0.00034129692","1"
"bsmtfin_sf_2","0.00034129692","1"
"total_bsmt_sf","0.00034129692","1"
"central_air","0","0"
"1st_flr_sf","0","0"
"2nd_flr_sf","0","0"
"low_qual_fin_sf","0","0"
"gr_liv_area","0","0"
"full_bath","0","0"
"half_bath","0","0"
"bedroom_abvgr","0","0"
"kitchen_abvgr","0","0"
"kitchen_qual","0","0"
"totrms_abvgrd","0","0"
"functional","0","0"
"fireplaces","0","0"
"paved_drive","0","0"
"wood_deck_sf","0","0"
"open_porch_sf","0","0"
"enclosed_porch","0","0"
"3ssn_porch","0","0"
"screen_porch","0","0"
"pool_area","0","0"
"misc_val","0","0"
"mo_sold","0","0"
"yr_sold","0","0"
"sale_type","0","0"
"sale_condition","0","0"
"ms_subclass","0","0"
"saleprice","0","0"
"ms_zoning","0","0"
"lot_area","0","0"
"street","0","0"
"lot_shape","0","0"
"land_contour","0","0"
"utilities","0","0"
"lot_config","0","0"
"land_slope","0","0"
"neighborhood","0","0"
"condition_1","0","0"
"condition_2","0","0"
"bldg_type","0","0"
"house_style","0","0"
"overall_qual","0","0"
"overall_cond","0","0"
"year_built","0","0"
"year_remod_add","0","0"
"roof_style","0","0"
"roof_matl","0","0"
"exterior_1st","0","0"
"exterior_2nd","0","0"
"exter_qual","0","0"
"exter_cond","0","0"
"foundation","0","0"
"heating","0","0"
"heating_qc","0","0"
